Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category,Tags
02/19/2024,Con Edison Bill Paym(866)405-1924       NY,80.87,"48760796194 UTILITIES
Con Edison Bill Payment
(866)405-1924
NY
UTILITIES",Con Edison Bill Paym(866)405-1924       NY,"4 IRVING PLACE 2ND
FLOOR","NEW YORK
NY",10003,UNITED STATES,'320240510731962366',Other-Utilities,"electric,utilities"
02/19/2024,GglPay NYCT PAYGO   NEW YORK            NY,2.90,"00720079192 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240510734431978',Transportation-Rail Services,ny subway
02/18/2024,GglPay MICRO CENTER BROOKLYN            NY,603.88,"115PO252634 3475639880
GglPay MICRO CENTER 115
BROOKLYN
NY
Description : CRUCIAL 1TB X6 PORT Price : 0.6999
Description : CRUCIAL 500GB X6 PO Price : 0.4499
Description : IPSG 128GB MICROSD Price : 0.1999
Description : IPSG 256GB MICROSD Price : 0.1799
3475639880",GglPay MICRO CENTER BROOKLYN            NY,850 3RD AVE,"BROOKLYN
NY",11232,UNITED STATES,'320240500709483226',Merchandise & Supplies-Computer Supplies,"retail,tech"
02/18/2024,GglPay TST* TURTLES BROOKLYN            NY,34.29,"21105174050 BAR/NIGHTCLUB
GglPay TST* TURTLES ALL THE WAY 00123707
BROOKLYN
NY
BAR/NIGHTCLUB",GglPay TST* TURTLES BROOKLYN            NY,236 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240500706363017',Restaurant-Bar & Café,bar
02/17/2024,GglPay KEY FOOD     BROOKLYN            NY,44.00,"005304001037184539277
GROCERY STORES
GglPay KEY FOOD
BROOKLYN
NY
GROCERY STORES
7184539277",GglPay KEY FOOD     BROOKLYN            NY,200 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240490686794951',Merchandise & Supplies-Groceries,grocery
02/17/2024,GglPay USPS PO 35080BROOKLYN            NY,35.50,"04812100438 8282621171
GglPay USPS PO 3508040310 001356467
BROOKLYN
NY
Description : POST SVCS GO Price : 0.355
8282621171",GglPay USPS PO 35080BROOKLYN            NY,1369 BROADWAY,"BROOKLYN
NY",11221,UNITED STATES,'320240490689424432',Business Services-Mailing & Shipping,"mail,souvenirs"
02/16/2024,GglPay KEY FOOD     BROOKLYN            NY,18.25,"00530400002 7184539277
GglPay KEY FOOD
BROOKLYN
NY
Description : GROCERY STORES Price : 0.1825
7184539277",GglPay KEY FOOD     BROOKLYN            NY,200 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240480662169276',Merchandise & Supplies-Groceries,grocery
02/16/2024,US MOBILE* US MOBILENEW YORK            NY,72.00,"NT_PZNU40HV +18782050088
US MOBILE* US MOBILE
NEW YORK
NY
+18782050088",US MOBILE* US MOBILENEW YORK            NY,"11 EAST 44TH STREET2ND
FLOOR","NEW YORK
NY",10017,UNITED STATES,'320240480673922048',Communications-Mobile Telecom,"esim,sim"
02/15/2024,GglPay BRITT BRASIL RIO DE JANEIRO,80.96,"00024021596 CANDY & CONFECTIONERY
GglPay BRITT BRASIL COMERCIO
RIO DE JANEIRO
CANDY & CONFECTIONERYForeign Spend Amount: 401.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay BRITT BRASIL RIO DE JANEIRO,"""VINTE DE JANEIRO, 0 - GALEAO""
RIO DE JANEIRO",,21941570,BRAZIL,'320240460607333323',Merchandise & Supplies-Groceries,"airport,gift shop,GIG,rio,souvenirs"
02/14/2024,GglPay BAR MAXIM S LRIO DE JANEIR,66.20,"RESTAURANT
GglPay BAR MAXIM S LTDA
RIO DE JANEIR
RESTAURANTForeign Spend Amount: 327.91 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay BAR MAXIM S LRIO DE JANEIR,"""AV ATLANTICA,1850""
A
RIO DE JANEIRO",,22021001,BRAZIL,'320240450579626713',Restaurant-Restaurant,"copacabana,dinner,restaurant,rio"
