"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Receipt ID","Balance"
"12/31/2023","11:04:49","EST","Fandango","General Authorization","Pending","USD","-10.90","","0.00"
"12/31/2023","11:04:56","EST","Fandango","Express Checkout Payment","Completed","USD","-10.90","","-10.90"
"12/31/2023","11:04:56","EST","","General Card Deposit","Completed","USD","10.90","","0.00"
"12/31/2023","11:04:56","EST","Fandango","General Authorization","Completed","USD","-10.90","","0.00"
"01/02/2024","18:34:19","EST","Uber Eats","General Authorization","Pending","USD","-97.87","","0.00"
"01/02/2024","19:16:48","EST","Uber Eats","PreApproved Payment Bill User Payment","Completed","USD","-84.01","","-84.01"
"01/02/2024","19:16:48","EST","","Bank Deposit to PP Account ","Pending","USD","84.01","","0.00"
"01/02/2024","19:16:48","EST","Uber Eats","General Authorization","Completed","USD","-97.87","","0.00"
"01/02/2024","20:16:38","EST","Uber Eats","PreApproved Payment Bill User Payment","Completed","USD","-13.86","","-13.86"
"01/02/2024","20:16:38","EST","","Bank Deposit to PP Account ","Pending","USD","13.86","","0.00"
"01/07/2024","19:11:18","EST","Disney Plus","PreApproved Payment Bill User Payment","Completed","USD","-13.99","","-13.99"
"01/07/2024","19:11:18","EST","","Bank Deposit to PP Account ","Pending","USD","13.99","","0.00"
"01/09/2024","08:58:11","EST","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-14.99","","-14.99"
"01/09/2024","08:58:11","EST","","Bank Deposit to PP Account ","Pending","USD","14.99","","0.00"
"01/13/2024","12:47:19","EST","Fandango","General Authorization","Pending","USD","-21.18","","0.00"
"01/13/2024","12:47:22","EST","Fandango","Express Checkout Payment","Completed","USD","-21.18","","-21.18"
"01/13/2024","12:47:22","EST","","General Card Deposit","Completed","USD","21.18","","0.00"
"01/13/2024","12:47:22","EST","Fandango","General Authorization","Completed","USD","-21.18","","0.00"
"01/13/2024","15:26:02","EST","Uber Technologies, Inc","PreApproved Payment Bill User Payment","Completed","USD","-8.83","","-8.83"
"01/13/2024","15:26:02","EST","","Bank Deposit to PP Account ","Pending","USD","8.83","","0.00"
"01/13/2024","15:27:24","EST","Uber Technologies, Inc","General Authorization","Pending","USD","-29.90","","0.00"
"01/13/2024","16:05:15","EST","Uber Technologies, Inc","PreApproved Payment Bill User Payment","Completed","USD","-29.90","","-29.90"
"01/13/2024","16:05:15","EST","","Bank Deposit to PP Account ","Pending","USD","29.90","","0.00"
"01/13/2024","16:05:15","EST","Uber Technologies, Inc","General Authorization","Completed","USD","-29.90","","0.00"
"01/13/2024","18:57:12","EST","Uber Technologies, Inc","PreApproved Payment Bill User Payment","Completed","USD","-1.53","","-1.53"
"01/13/2024","18:57:12","EST","","Bank Deposit to PP Account ","Pending","USD","1.53","","0.00"
"01/14/2024","04:06:38","EST","Meta Platforms, Inc.","PreApproved Payment Bill User Payment","Completed","USD","-4.25","","-4.25"
"01/14/2024","04:06:38","EST","","General Card Deposit","Completed","USD","4.25","","0.00"
"01/14/2024","15:18:16","EST","Uber Eats","General Authorization","Pending","USD","-33.37","","0.00"
"01/14/2024","16:05:06","EST","Uber Eats","PreApproved Payment Bill User Payment","Completed","USD","-33.37","","-33.37"
"01/14/2024","16:05:06","EST","","Bank Deposit to PP Account ","Pending","USD","33.37","","0.00"
"01/14/2024","16:05:06","EST","Uber Eats","General Authorization","Completed","USD","-33.37","","0.00"
